
Quantidade de inicios aleatorios:
1

Quantidade de construcoes em cada inicio:
200

Quantidade de participantes do torneio:
10

Valor da seed:
6676

Valor da solucao inicial:
2866.00

Maior soma de distancias minimas encontrada:
4170.00

Descricao completa da melhor solucao encontrada:
Vertice 0 conectado com vertice 449, com distancia 3.00
Vertice 1 conectado com vertice 253, com distancia 15.00
Vertice 2 conectado com vertice 179, com distancia 8.00
Vertice 3 conectado com vertice 29, com distancia 9.00
Vertice 4 conectado com vertice 308, com distancia 15.00
Vertice 5 conectado com vertice 19, com distancia 16.00
Vertice 6 conectado com vertice 426, com distancia 9.00
Vertice 7 conectado com vertice 146, com distancia 10.00
Vertice 8 conectado com vertice 262, com distancia 12.00
Vertice 9 conectado com vertice 293, com distancia 4.00
Vertice 10 conectado com vertice 113, com distancia 12.00
Vertice 11 conectado com vertice 166, com distancia 11.00
Vertice 12 conectado com vertice 425, com distancia 9.00
Vertice 13 conectado com vertice 100, com distancia 7.00
Vertice 14 conectado com vertice 64, com distancia 9.00
Vertice 15 conectado com vertice 149, com distancia 11.00
Vertice 16 conectado com vertice 162, com distancia 6.00
Vertice 17 conectado com vertice 129, com distancia 13.00
Vertice 18 conectado com vertice 36, com distancia 4.00
Vertice 19 conectado com vertice 133, com distancia 6.00
Vertice 20 conectado com vertice 333, com distancia 8.00
Vertice 21 conectado com vertice 334, com distancia 3.00
Vertice 22 conectado com vertice 133, com distancia 8.00
Vertice 23 conectado com vertice 181, com distancia 6.00
Vertice 24 conectado com vertice 205, com distancia 1.00
Vertice 25 conectado com vertice 56, com distancia 4.00
Vertice 26 conectado com vertice 245, com distancia 7.00
Vertice 27 conectado com vertice 262, com distancia 9.00
Vertice 28 conectado com vertice 193, com distancia 10.00
Vertice 29 conectado com vertice 181, com distancia 4.00
Vertice 30 conectado com vertice 29, com distancia 9.00
Vertice 31 conectado com vertice 201, com distancia 3.00
Vertice 32 conectado com vertice 448, com distancia 5.00
Vertice 33 conectado com vertice 88, com distancia 8.00
Vertice 34 conectado com vertice 138, com distancia 5.00
Vertice 35 conectado com vertice 181, com distancia 10.00
Vertice 36 conectado com vertice 77, com distancia 1.00
Vertice 37 conectado com vertice 196, com distancia 8.00
Vertice 38 conectado com vertice 133, com distancia 8.00
Vertice 39 conectado com vertice 330, com distancia 9.00
Vertice 40 conectado com vertice 352, com distancia 15.00
Vertice 41 conectado com vertice 438, com distancia 11.00
Vertice 42 conectado com vertice 253, com distancia 11.00
Vertice 43 conectado com vertice 29, com distancia 4.00
Vertice 44 conectado com vertice 253, com distancia 12.00
Vertice 45 conectado com vertice 260, com distancia 10.00
Vertice 46 conectado com vertice 85, com distancia 4.00
Vertice 47 conectado com vertice 48, com distancia 5.00
Vertice 48 conectado com vertice 279, com distancia 4.00
Vertice 49 conectado com vertice 200, com distancia 12.00
Vertice 50 conectado com vertice 7, com distancia 1.00
Vertice 51 conectado com vertice 147, com distancia 10.00
Vertice 52 conectado com vertice 372, com distancia 3.00
Vertice 53 conectado com vertice 43, com distancia 7.00
Vertice 54 conectado com vertice 402, com distancia 23.00
Vertice 55 conectado com vertice 59, com distancia 7.00
Vertice 56 conectado com vertice 437, com distancia 6.00
Vertice 57 conectado com vertice 26, com distancia 13.00
Vertice 58 conectado com vertice 384, com distancia 7.00
Vertice 59 conectado com vertice 45, com distancia 4.00
Vertice 60 conectado com vertice 144, com distancia 5.00
Vertice 61 conectado com vertice 432, com distancia 10.00
Vertice 62 conectado com vertice 77, com distancia 3.00
Vertice 63 conectado com vertice 7, com distancia 9.00
Vertice 64 conectado com vertice 421, com distancia 8.00
