
Quantidade de inicios aleatorios:
10000

Quantidade de construcoes em cada inicio:
200

Quantidade de participantes do torneio:
10

Valor da seed:
8825

Valor da solucao inicial:
3718.00

Maior soma de distancias minimas encontrada:
4165.00

Descricao completa da melhor solucao encontrada:
Vertice 0 conectado com vertice 246, com distancia 16.00
Vertice 1 conectado com vertice 302, com distancia 12.00
Vertice 2 conectado com vertice 360, com distancia 10.00
Vertice 3 conectado com vertice 142, com distancia 20.00
Vertice 4 conectado com vertice 36, com distancia 7.00
Vertice 5 conectado com vertice 20, com distancia 10.00
Vertice 6 conectado com vertice 440, com distancia 4.00
Vertice 7 conectado com vertice 85, com distancia 14.00
Vertice 8 conectado com vertice 76, com distancia 12.00
Vertice 9 conectado com vertice 169, com distancia 10.00
Vertice 10 conectado com vertice 32, com distancia 12.00
Vertice 11 conectado com vertice 217, com distancia 6.00
Vertice 12 conectado com vertice 398, com distancia 7.00
Vertice 13 conectado com vertice 404, com distancia 12.00
Vertice 14 conectado com vertice 259, com distancia 6.00
Vertice 15 conectado com vertice 448, com distancia 2.00
Vertice 16 conectado com vertice 353, com distancia 7.00
Vertice 17 conectado com vertice 393, com distancia 15.00
Vertice 18 conectado com vertice 124, com distancia 15.00
Vertice 19 conectado com vertice 283, com distancia 6.00
Vertice 20 conectado com vertice 90, com distancia 4.00
Vertice 21 conectado com vertice 65, com distancia 6.00
Vertice 22 conectado com vertice 449, com distancia 6.00
Vertice 23 conectado com vertice 30, com distancia 9.00
Vertice 24 conectado com vertice 123, com distancia 10.00
Vertice 25 conectado com vertice 439, com distancia 9.00
Vertice 26 conectado com vertice 387, com distancia 7.00
Vertice 27 conectado com vertice 123, com distancia 11.00
Vertice 28 conectado com vertice 437, com distancia 11.00
Vertice 29 conectado com vertice 192, com distancia 7.00
Vertice 30 conectado com vertice 293, com distancia 10.00
Vertice 31 conectado com vertice 283, com distancia 3.00
Vertice 32 conectado com vertice 233, com distancia 9.00
Vertice 33 conectado com vertice 313, com distancia 6.00
Vertice 34 conectado com vertice 313, com distancia 7.00
Vertice 35 conectado com vertice 360, com distancia 14.00
Vertice 36 conectado com vertice 283, com distancia 13.00
Vertice 37 conectado com vertice 90, com distancia 11.00
Vertice 38 conectado com vertice 192, com distancia 6.00
Vertice 39 conectado com vertice 176, com distancia 15.00
Vertice 40 conectado com vertice 36, com distancia 18.00
Vertice 41 conectado com vertice 204, com distancia 12.00
Vertice 42 conectado com vertice 204, com distancia 6.00
Vertice 43 conectado com vertice 230, com distancia 4.00
Vertice 44 conectado com vertice 32, com distancia 4.00
Vertice 45 conectado com vertice 404, com distancia 16.00
Vertice 46 conectado com vertice 59, com distancia 3.00
Vertice 47 conectado com vertice 30, com distancia 3.00
Vertice 48 conectado com vertice 94, com distancia 2.00
Vertice 49 conectado com vertice 204, com distancia 8.00
Vertice 50 conectado com vertice 398, com distancia 5.00
Vertice 51 conectado com vertice 387, com distancia 11.00
Vertice 52 conectado com vertice 171, com distancia 12.00
Vertice 53 conectado com vertice 276, com distancia 19.00
Vertice 54 conectado com vertice 90, com distancia 8.00
Vertice 55 conectado com vertice 30, com distancia 9.00
Vertice 56 conectado com vertice 230, com distancia 12.00
Vertice 57 conectado com vertice 259, com distancia 5.00
Vertice 58 conectado com vertice 65, com distancia 18.00
Vertice 59 conectado com vertice 360, com distancia 7.00
Vertice 60 conectado com vertice 304, com distancia 12.00
Vertice 61 conectado com vertice 32, com distancia 7.00
Vertice 62 conectado com vertice 437, com distancia 27.00
Vertice 63 conectado com vertice 30, com distancia 15.00
Vertice 64 conectado com vertice 302, com distancia 2.00
Vertice 65 conectado com vertice 35, com distancia 5.00
Vertice 66 conectado com vertice 35, com distancia 12.00
Vertice 67 conectado com vertice 227, com distancia 9.00
Vertice 68 conectado com vertice 18, com distancia 1.00
Vertice 69 conectado com vertice 415, com distancia 11.00
Vertice 70 conectado com vertice 259, com distancia 16.00
Vertice 71 conectado com vertice 203, com distancia 5.00
