
Quantidade de inicios aleatorios:
10000

Quantidade de construcoes em cada inicio:
200

Quantidade de participantes do torneio:
10

Valor da seed:
4033

Valor da solucao inicial:
3133.00

Maior soma de distancias minimas encontrada:
3345.00

Descricao completa da melhor solucao encontrada:
Vertice 0 conectado com vertice 22, com distancia 7.00
Vertice 1 conectado com vertice 290, com distancia 8.00
Vertice 2 conectado com vertice 53, com distancia 8.00
Vertice 3 conectado com vertice 40, com distancia 12.00
Vertice 4 conectado com vertice 42, com distancia 7.00
Vertice 5 conectado com vertice 308, com distancia 14.00
Vertice 6 conectado com vertice 407, com distancia 7.00
Vertice 7 conectado com vertice 442, com distancia 15.00
Vertice 8 conectado com vertice 68, com distancia 6.00
Vertice 9 conectado com vertice 8, com distancia 11.00
Vertice 10 conectado com vertice 242, com distancia 8.00
Vertice 11 conectado com vertice 265, com distancia 10.00
Vertice 12 conectado com vertice 354, com distancia 5.00
Vertice 13 conectado com vertice 45, com distancia 8.00
Vertice 14 conectado com vertice 424, com distancia 10.00
Vertice 15 conectado com vertice 74, com distancia 7.00
Vertice 16 conectado com vertice 296, com distancia 7.00
Vertice 17 conectado com vertice 89, com distancia 9.00
Vertice 18 conectado com vertice 58, com distancia 2.00
Vertice 19 conectado com vertice 61, com distancia 3.00
Vertice 20 conectado com vertice 153, com distancia 4.00
Vertice 21 conectado com vertice 11, com distancia 8.00
Vertice 22 conectado com vertice 354, com distancia 4.00
Vertice 23 conectado com vertice 269, com distancia 14.00
Vertice 24 conectado com vertice 352, com distancia 10.00
Vertice 25 conectado com vertice 173, com distancia 2.00
Vertice 26 conectado com vertice 248, com distancia 8.00
Vertice 27 conectado com vertice 400, com distancia 4.00
Vertice 28 conectado com vertice 308, com distancia 11.00
Vertice 29 conectado com vertice 35, com distancia 3.00
Vertice 30 conectado com vertice 194, com distancia 18.00
Vertice 31 conectado com vertice 74, com distancia 10.00
Vertice 32 conectado com vertice 52, com distancia 2.00
Vertice 33 conectado com vertice 69, com distancia 3.00
Vertice 34 conectado com vertice 149, com distancia 5.00
Vertice 35 conectado com vertice 67, com distancia 6.00
Vertice 36 conectado com vertice 171, com distancia 10.00
Vertice 37 conectado com vertice 52, com distancia 11.00
Vertice 38 conectado com vertice 362, com distancia 9.00
Vertice 39 conectado com vertice 68, com distancia 19.00
Vertice 40 conectado com vertice 297, com distancia 9.00
Vertice 41 conectado com vertice 15, com distancia 2.00
Vertice 42 conectado com vertice 7, com distancia 3.00
Vertice 43 conectado com vertice 171, com distancia 6.00
Vertice 44 conectado com vertice 227, com distancia 5.00
Vertice 45 conectado com vertice 400, com distancia 17.00
Vertice 46 conectado com vertice 308, com distancia 3.00
Vertice 47 conectado com vertice 368, com distancia 9.00
Vertice 48 conectado com vertice 52, com distancia 3.00
Vertice 49 conectado com vertice 171, com distancia 5.00
Vertice 50 conectado com vertice 45, com distancia 7.00
Vertice 51 conectado com vertice 56, com distancia 4.00
Vertice 52 conectado com vertice 204, com distancia 4.00
Vertice 53 conectado com vertice 149, com distancia 10.00
Vertice 54 conectado com vertice 445, com distancia 14.00
Vertice 55 conectado com vertice 209, com distancia 10.00
Vertice 56 conectado com vertice 339, com distancia 9.00
