
Quantidade de inicios aleatorios:
1

Quantidade de construcoes em cada inicio:
200

Quantidade de participantes do torneio:
10

Valor da seed:
2659

Valor da solucao inicial:
2871.00

Maior soma de distancias minimas encontrada:
4265.00

Descricao completa da melhor solucao encontrada:
Vertice 0 conectado com vertice 145, com distancia 11.00
Vertice 1 conectado com vertice 33, com distancia 10.00
Vertice 2 conectado com vertice 201, com distancia 10.00
Vertice 3 conectado com vertice 125, com distancia 11.00
Vertice 4 conectado com vertice 245, com distancia 4.00
Vertice 5 conectado com vertice 380, com distancia 15.00
Vertice 6 conectado com vertice 120, com distancia 24.00
Vertice 7 conectado com vertice 50, com distancia 1.00
Vertice 8 conectado com vertice 39, com distancia 3.00
Vertice 9 conectado com vertice 209, com distancia 14.00
Vertice 10 conectado com vertice 2, com distancia 4.00
Vertice 11 conectado com vertice 395, com distancia 18.00
Vertice 12 conectado com vertice 245, com distancia 10.00
Vertice 13 conectado com vertice 140, com distancia 6.00
Vertice 14 conectado com vertice 15, com distancia 11.00
Vertice 15 conectado com vertice 211, com distancia 10.00
Vertice 16 conectado com vertice 77, com distancia 9.00
Vertice 17 conectado com vertice 353, com distancia 8.00
Vertice 18 conectado com vertice 88, com distancia 7.00
Vertice 19 conectado com vertice 190, com distancia 8.00
Vertice 20 conectado com vertice 363, com distancia 8.00
Vertice 21 conectado com vertice 315, com distancia 9.00
Vertice 22 conectado com vertice 265, com distancia 7.00
Vertice 23 conectado com vertice 298, com distancia 14.00
Vertice 24 conectado com vertice 215, com distancia 21.00
Vertice 25 conectado com vertice 41, com distancia 14.00
Vertice 26 conectado com vertice 232, com distancia 13.00
Vertice 27 conectado com vertice 396, com distancia 8.00
Vertice 28 conectado com vertice 357, com distancia 8.00
Vertice 29 conectado com vertice 271, com distancia 12.00
Vertice 30 conectado com vertice 276, com distancia 13.00
Vertice 31 conectado com vertice 102, com distancia 6.00
Vertice 32 conectado com vertice 33, com distancia 7.00
Vertice 33 conectado com vertice 87, com distancia 7.00
Vertice 34 conectado com vertice 406, com distancia 6.00
Vertice 35 conectado com vertice 87, com distancia 11.00
Vertice 36 conectado com vertice 140, com distancia 14.00
Vertice 37 conectado com vertice 425, com distancia 19.00
Vertice 38 conectado com vertice 378, com distancia 1.00
Vertice 39 conectado com vertice 95, com distancia 5.00
Vertice 40 conectado com vertice 283, com distancia 8.00
Vertice 41 conectado com vertice 2, com distancia 12.00
Vertice 42 conectado com vertice 415, com distancia 13.00
Vertice 43 conectado com vertice 53, com distancia 7.00
Vertice 44 conectado com vertice 379, com distancia 20.00
Vertice 45 conectado com vertice 158, com distancia 2.00
Vertice 46 conectado com vertice 63, com distancia 7.00
Vertice 47 conectado com vertice 321, com distancia 12.00
Vertice 48 conectado com vertice 229, com distancia 11.00
