
Quantidade de inicios aleatorios:
10000

Quantidade de construcoes em cada inicio:
200

Quantidade de participantes do torneio:
10

Valor da seed:
1683

Valor da solucao inicial:
2940.00

Maior soma de distancias minimas encontrada:
3141.00

Descricao completa da melhor solucao encontrada:
Vertice 0 conectado com vertice 449, com distancia 3.00
Vertice 1 conectado com vertice 120, com distancia 14.00
Vertice 2 conectado com vertice 217, com distancia 5.00
Vertice 3 conectado com vertice 234, com distancia 4.00
Vertice 4 conectado com vertice 111, com distancia 9.00
Vertice 5 conectado com vertice 362, com distancia 14.00
Vertice 6 conectado com vertice 128, com distancia 1.00
Vertice 7 conectado com vertice 146, com distancia 10.00
Vertice 8 conectado com vertice 62, com distancia 8.00
Vertice 9 conectado com vertice 293, com distancia 4.00
Vertice 10 conectado com vertice 264, com distancia 12.00
Vertice 11 conectado com vertice 116, com distancia 7.00
Vertice 12 conectado com vertice 244, com distancia 5.00
Vertice 13 conectado com vertice 177, com distancia 2.00
Vertice 14 conectado com vertice 93, com distancia 7.00
Vertice 15 conectado com vertice 149, com distancia 11.00
Vertice 16 conectado com vertice 180, com distancia 12.00
Vertice 17 conectado com vertice 215, com distancia 10.00
Vertice 18 conectado com vertice 236, com distancia 6.00
Vertice 19 conectado com vertice 367, com distancia 4.00
Vertice 20 conectado com vertice 217, com distancia 6.00
Vertice 21 conectado com vertice 334, com distancia 3.00
Vertice 22 conectado com vertice 215, com distancia 4.00
Vertice 23 conectado com vertice 180, com distancia 11.00
Vertice 24 conectado com vertice 445, com distancia 4.00
Vertice 25 conectado com vertice 229, com distancia 14.00
Vertice 26 conectado com vertice 99, com distancia 5.00
Vertice 27 conectado com vertice 278, com distancia 8.00
Vertice 28 conectado com vertice 50, com distancia 2.00
Vertice 29 conectado com vertice 244, com distancia 4.00
Vertice 30 conectado com vertice 264, com distancia 7.00
Vertice 31 conectado com vertice 48, com distancia 5.00
Vertice 32 conectado com vertice 268, com distancia 3.00
Vertice 33 conectado com vertice 32, com distancia 7.00
Vertice 34 conectado com vertice 62, com distancia 10.00
Vertice 35 conectado com vertice 274, com distancia 8.00
Vertice 36 conectado com vertice 77, com distancia 1.00
Vertice 37 conectado com vertice 35, com distancia 7.00
Vertice 38 conectado com vertice 410, com distancia 5.00
Vertice 39 conectado com vertice 8, com distancia 3.00
Vertice 40 conectado com vertice 313, com distancia 5.00
Vertice 41 conectado com vertice 188, com distancia 5.00
Vertice 42 conectado com vertice 241, com distancia 5.00
Vertice 43 conectado com vertice 264, com distancia 2.00
Vertice 44 conectado com vertice 390, com distancia 6.00
Vertice 45 conectado com vertice 215, com distancia 6.00
Vertice 46 conectado com vertice 85, com distancia 4.00
Vertice 47 conectado com vertice 48, com distancia 5.00
Vertice 48 conectado com vertice 93, com distancia 4.00
Vertice 49 conectado com vertice 263, com distancia 14.00
Vertice 50 conectado com vertice 7, com distancia 1.00
Vertice 51 conectado com vertice 142, com distancia 11.00
Vertice 52 conectado com vertice 372, com distancia 3.00
Vertice 53 conectado com vertice 142, com distancia 4.00
Vertice 54 conectado com vertice 309, com distancia 17.00
Vertice 55 conectado com vertice 214, com distancia 9.00
Vertice 56 conectado com vertice 293, com distancia 7.00
Vertice 57 conectado com vertice 362, com distancia 8.00
Vertice 58 conectado com vertice 154, com distancia 5.00
Vertice 59 conectado com vertice 7, com distancia 8.00
Vertice 60 conectado com vertice 144, com distancia 5.00
Vertice 61 conectado com vertice 214, com distancia 1.00
Vertice 62 conectado com vertice 77, com distancia 3.00
Vertice 63 conectado com vertice 7, com distancia 9.00
Vertice 64 conectado com vertice 264, com distancia 7.00
Vertice 65 conectado com vertice 185, com distancia 5.00
Vertice 66 conectado com vertice 142, com distancia 3.00
Vertice 67 conectado com vertice 341, com distancia 7.00
Vertice 68 conectado com vertice 328, com distancia 2.00
Vertice 69 conectado com vertice 410, com distancia 17.00
Vertice 70 conectado com vertice 410, com distancia 2.00
Vertice 71 conectado com vertice 41, com distancia 4.00
Vertice 72 conectado com vertice 153, com distancia 19.00
Vertice 73 conectado com vertice 121, com distancia 11.00
Vertice 74 conectado com vertice 238, com distancia 7.00
Vertice 75 conectado com vertice 215, com distancia 3.00
Vertice 76 conectado com vertice 231, com distancia 4.00
Vertice 77 conectado com vertice 447, com distancia 4.00
Vertice 78 conectado com vertice 66, com distancia 10.00
Vertice 79 conectado com vertice 14, com distancia 9.00
Vertice 80 conectado com vertice 341, com distancia 8.00
Vertice 81 conectado com vertice 120, com distancia 11.00
