
Quantidade de inicios aleatorios:
10000

Quantidade de construcoes em cada inicio:
200

Quantidade de participantes do torneio:
10

Valor da seed:
9716

Valor da solucao inicial:
3916.00

Maior soma de distancias minimas encontrada:
4457.00

Descricao completa da melhor solucao encontrada:
Vertice 0 conectado com vertice 8, com distancia 15.00
Vertice 1 conectado com vertice 164, com distancia 8.00
Vertice 2 conectado com vertice 353, com distancia 7.00
Vertice 3 conectado com vertice 447, com distancia 7.00
Vertice 4 conectado com vertice 434, com distancia 7.00
Vertice 5 conectado com vertice 151, com distancia 7.00
Vertice 6 conectado com vertice 223, com distancia 11.00
Vertice 7 conectado com vertice 50, com distancia 13.00
Vertice 8 conectado com vertice 107, com distancia 8.00
Vertice 9 conectado com vertice 270, com distancia 14.00
Vertice 10 conectado com vertice 427, com distancia 1.00
Vertice 11 conectado com vertice 354, com distancia 11.00
Vertice 12 conectado com vertice 200, com distancia 17.00
Vertice 13 conectado com vertice 151, com distancia 15.00
Vertice 14 conectado com vertice 251, com distancia 9.00
Vertice 15 conectado com vertice 223, com distancia 14.00
Vertice 16 conectado com vertice 399, com distancia 19.00
Vertice 17 conectado com vertice 274, com distancia 6.00
Vertice 18 conectado com vertice 100, com distancia 13.00
Vertice 19 conectado com vertice 151, com distancia 1.00
Vertice 20 conectado com vertice 113, com distancia 36.00
Vertice 21 conectado com vertice 181, com distancia 8.00
Vertice 22 conectado com vertice 427, com distancia 10.00
Vertice 23 conectado com vertice 25, com distancia 9.00
Vertice 24 conectado com vertice 356, com distancia 13.00
Vertice 25 conectado com vertice 151, com distancia 5.00
Vertice 26 conectado com vertice 181, com distancia 13.00
Vertice 27 conectado com vertice 251, com distancia 8.00
Vertice 28 conectado com vertice 152, com distancia 12.00
Vertice 29 conectado com vertice 13, com distancia 10.00
Vertice 30 conectado com vertice 329, com distancia 18.00
Vertice 31 conectado com vertice 356, com distancia 11.00
Vertice 32 conectado com vertice 181, com distancia 22.00
Vertice 33 conectado com vertice 270, com distancia 12.00
Vertice 34 conectado com vertice 308, com distancia 7.00
Vertice 35 conectado com vertice 152, com distancia 14.00
Vertice 36 conectado com vertice 91, com distancia 10.00
Vertice 37 conectado com vertice 33, com distancia 3.00
Vertice 38 conectado com vertice 365, com distancia 10.00
Vertice 39 conectado com vertice 91, com distancia 6.00
Vertice 40 conectado com vertice 89, com distancia 2.00
Vertice 41 conectado com vertice 350, com distancia 17.00
Vertice 42 conectado com vertice 152, com distancia 9.00
Vertice 43 conectado com vertice 325, com distancia 8.00
Vertice 44 conectado com vertice 13, com distancia 18.00
Vertice 45 conectado com vertice 116, com distancia 10.00
Vertice 46 conectado com vertice 200, com distancia 12.00
Vertice 47 conectado com vertice 251, com distancia 8.00
Vertice 48 conectado com vertice 123, com distancia 8.00
Vertice 49 conectado com vertice 93, com distancia 12.00
Vertice 50 conectado com vertice 13, com distancia 10.00
Vertice 51 conectado com vertice 91, com distancia 1.00
Vertice 52 conectado com vertice 13, com distancia 11.00
Vertice 53 conectado com vertice 50, com distancia 10.00
Vertice 54 conectado com vertice 109, com distancia 7.00
Vertice 55 conectado com vertice 292, com distancia 4.00
Vertice 56 conectado com vertice 310, com distancia 6.00
Vertice 57 conectado com vertice 152, com distancia 6.00
Vertice 58 conectado com vertice 86, com distancia 12.00
Vertice 59 conectado com vertice 89, com distancia 12.00
Vertice 60 conectado com vertice 5, com distancia 10.00
Vertice 61 conectado com vertice 197, com distancia 9.00
Vertice 62 conectado com vertice 247, com distancia 14.00
Vertice 63 conectado com vertice 86, com distancia 12.00
Vertice 64 conectado com vertice 273, com distancia 10.00
Vertice 65 conectado com vertice 13, com distancia 3.00
Vertice 66 conectado com vertice 91, com distancia 9.00
Vertice 67 conectado com vertice 155, com distancia 2.00
Vertice 68 conectado com vertice 207, com distancia 18.00
Vertice 69 conectado com vertice 5, com distancia 8.00
Vertice 70 conectado com vertice 424, com distancia 17.00
Vertice 71 conectado com vertice 406, com distancia 13.00
Vertice 72 conectado com vertice 248, com distancia 4.00
Vertice 73 conectado com vertice 123, com distancia 10.00
Vertice 74 conectado com vertice 270, com distancia 2.00
Vertice 75 conectado com vertice 207, com distancia 22.00
Vertice 76 conectado com vertice 287, com distancia 16.00
Vertice 77 conectado com vertice 44, com distancia 8.00
Vertice 78 conectado com vertice 447, com distancia 16.00
Vertice 79 conectado com vertice 356, com distancia 9.00
Vertice 80 conectado com vertice 270, com distancia 1.00
Vertice 81 conectado com vertice 399, com distancia 10.00
Vertice 82 conectado com vertice 247, com distancia 11.00
Vertice 83 conectado com vertice 355, com distancia 10.00
Vertice 84 conectado com vertice 223, com distancia 12.00
Vertice 85 conectado com vertice 28, com distancia 10.00
Vertice 86 conectado com vertice 270, com distancia 10.00
Vertice 87 conectado com vertice 223, com distancia 12.00
Vertice 88 conectado com vertice 416, com distancia 11.00
Vertice 89 conectado com vertice 247, com distancia 13.00
Vertice 90 conectado com vertice 247, com distancia 4.00
Vertice 91 conectado com vertice 247, com distancia 10.00
Vertice 92 conectado com vertice 18, com distancia 9.00
Vertice 93 conectado com vertice 303, com distancia 7.00
Vertice 94 conectado com vertice 116, com distancia 13.00
Vertice 95 conectado com vertice 389, com distancia 10.00
Vertice 96 conectado com vertice 164, com distancia 7.00
Vertice 97 conectado com vertice 200, com distancia 11.00
Vertice 98 conectado com vertice 151, com distancia 5.00
Vertice 99 conectado com vertice 247, com distancia 9.00
Vertice 100 conectado com vertice 261, com distancia 8.00
Vertice 101 conectado com vertice 223, com distancia 15.00
Vertice 102 conectado com vertice 444, com distancia 3.00
Vertice 103 conectado com vertice 447, com distancia 10.00
Vertice 104 conectado com vertice 14, com distancia 12.00
Vertice 105 conectado com vertice 359, com distancia 7.00
Vertice 106 conectado com vertice 235, com distancia 12.00
Vertice 107 conectado com vertice 91, com distancia 9.00
Vertice 108 conectado com vertice 123, com distancia 14.00
Vertice 109 conectado com vertice 356, com distancia 10.00
Vertice 110 conectado com vertice 297, com distancia 8.00
Vertice 111 conectado com vertice 5, com distancia 9.00
Vertice 112 conectado com vertice 164, com distancia 8.00
Vertice 113 conectado com vertice 287, com distancia 4.00
Vertice 114 conectado com vertice 297, com distancia 11.00
Vertice 115 conectado com vertice 100, com distancia 14.00
Vertice 116 conectado com vertice 91, com distancia 14.00
Vertice 117 conectado com vertice 91, com distancia 2.00
Vertice 118 conectado com vertice 283, com distancia 4.00
Vertice 119 conectado com vertice 83, com distancia 17.00
Vertice 120 conectado com vertice 91, com distancia 16.00
Vertice 121 conectado com vertice 50, com distancia 5.00
Vertice 122 conectado com vertice 164, com distancia 13.00
Vertice 123 conectado com vertice 223, com distancia 12.00
Vertice 124 conectado com vertice 345, com distancia 6.00
Vertice 125 conectado com vertice 93, com distancia 4.00
Vertice 126 conectado com vertice 5, com distancia 14.00
Vertice 127 conectado com vertice 169, com distancia 9.00
Vertice 128 conectado com vertice 247, com distancia 11.00
Vertice 129 conectado com vertice 418, com distancia 19.00
Vertice 130 conectado com vertice 164, com distancia 14.00
Vertice 131 conectado com vertice 5, com distancia 6.00
Vertice 132 conectado com vertice 297, com distancia 9.00
Vertice 133 conectado com vertice 164, com distancia 5.00
Vertice 134 conectado com vertice 109, com distancia 10.00
Vertice 135 conectado com vertice 152, com distancia 6.00
Vertice 136 conectado com vertice 181, com distancia 6.00
Vertice 137 conectado com vertice 251, com distancia 15.00
Vertice 138 conectado com vertice 327, com distancia 11.00
Vertice 139 conectado com vertice 416, com distancia 6.00
Vertice 140 conectado com vertice 95, com distancia 13.00
Vertice 141 conectado com vertice 9, com distancia 11.00
Vertice 142 conectado com vertice 399, com distancia 4.00
Vertice 143 conectado com vertice 74, com distancia 8.00
Vertice 144 conectado com vertice 287, com distancia 3.00
Vertice 145 conectado com vertice 223, com distancia 10.00
Vertice 146 conectado com vertice 13, com distancia 11.00
Vertice 147 conectado com vertice 28, com distancia 5.00
Vertice 148 conectado com vertice 91, com distancia 21.00
Vertice 149 conectado com vertice 248, com distancia 12.00
Vertice 150 conectado com vertice 223, com distancia 13.00
Vertice 151 conectado com vertice 359, com distancia 5.00
Vertice 152 conectado com vertice 427, com distancia 15.00
Vertice 153 conectado com vertice 248, com distancia 18.00
Vertice 154 conectado com vertice 211, com distancia 7.00
Vertice 155 conectado com vertice 270, com distancia 22.00
Vertice 156 conectado com vertice 354, com distancia 11.00
Vertice 157 conectado com vertice 418, com distancia 15.00
Vertice 158 conectado com vertice 270, com distancia 13.00
Vertice 159 conectado com vertice 97, com distancia 11.00
Vertice 160 conectado com vertice 406, com distancia 16.00
Vertice 161 conectado com vertice 310, com distancia 3.00
Vertice 162 conectado com vertice 44, com distancia 5.00
Vertice 163 conectado com vertice 151, com distancia 12.00
Vertice 164 conectado com vertice 5, com distancia 14.00
Vertice 165 conectado com vertice 213, com distancia 1.00
Vertice 166 conectado com vertice 151, com distancia 19.00
Vertice 167 conectado com vertice 113, com distancia 20.00
Vertice 168 conectado com vertice 14, com distancia 9.00
Vertice 169 conectado com vertice 14, com distancia 13.00
Vertice 170 conectado com vertice 447, com distancia 7.00
Vertice 171 conectado com vertice 427, com distancia 12.00
Vertice 172 conectado com vertice 151, com distancia 7.00
Vertice 173 conectado com vertice 91, com distancia 7.00
Vertice 174 conectado com vertice 251, com distancia 5.00
Vertice 175 conectado com vertice 109, com distancia 11.00
Vertice 176 conectado com vertice 158, com distancia 12.00
Vertice 177 conectado com vertice 113, com distancia 9.00
Vertice 178 conectado com vertice 261, com distancia 4.00
Vertice 179 conectado com vertice 329, com distancia 4.00
Vertice 180 conectado com vertice 53, com distancia 8.00
Vertice 181 conectado com vertice 25, com distancia 21.00
Vertice 182 conectado com vertice 424, com distancia 21.00
Vertice 183 conectado com vertice 418, com distancia 6.00
Vertice 184 conectado com vertice 91, com distancia 11.00
Vertice 185 conectado com vertice 213, com distancia 12.00
Vertice 186 conectado com vertice 444, com distancia 12.00
Vertice 187 conectado com vertice 74, com distancia 11.00
Vertice 188 conectado com vertice 261, com distancia 13.00
Vertice 189 conectado com vertice 447, com distancia 7.00
Vertice 190 conectado com vertice 357, com distancia 8.00
Vertice 191 conectado com vertice 365, com distancia 5.00
Vertice 192 conectado com vertice 207, com distancia 13.00
Vertice 193 conectado com vertice 18, com distancia 7.00
Vertice 194 conectado com vertice 345, com distancia 8.00
Vertice 195 conectado com vertice 427, com distancia 2.00
Vertice 196 conectado com vertice 13, com distancia 7.00
Vertice 197 conectado com vertice 83, com distancia 10.00
Vertice 198 conectado com vertice 164, com distancia 1.00
Vertice 199 conectado com vertice 287, com distancia 5.00
Vertice 200 conectado com vertice 86, com distancia 10.00
Vertice 201 conectado com vertice 213, com distancia 8.00
Vertice 202 conectado com vertice 107, com distancia 15.00
Vertice 203 conectado com vertice 13, com distancia 10.00
Vertice 204 conectado com vertice 223, com distancia 21.00
Vertice 205 conectado com vertice 151, com distancia 12.00
Vertice 206 conectado com vertice 169, com distancia 17.00
Vertice 207 conectado com vertice 247, com distancia 16.00
Vertice 208 conectado com vertice 89, com distancia 3.00
Vertice 209 conectado com vertice 93, com distancia 9.00
Vertice 210 conectado com vertice 44, com distancia 13.00
Vertice 211 conectado com vertice 93, com distancia 11.00
Vertice 212 conectado com vertice 113, com distancia 13.00
Vertice 213 conectado com vertice 19, com distancia 10.00
Vertice 214 conectado com vertice 247, com distancia 14.00
Vertice 215 conectado com vertice 280, com distancia 3.00
Vertice 216 conectado com vertice 308, com distancia 10.00
Vertice 217 conectado com vertice 167, com distancia 6.00
Vertice 218 conectado com vertice 251, com distancia 13.00
Vertice 219 conectado com vertice 169, com distancia 7.00
Vertice 220 conectado com vertice 213, com distancia 12.00
Vertice 221 conectado com vertice 18, com distancia 10.00
Vertice 222 conectado com vertice 354, com distancia 20.00
Vertice 223 conectado com vertice 303, com distancia 10.00
Vertice 224 conectado com vertice 181, com distancia 8.00
Vertice 225 conectado com vertice 170, com distancia 12.00
Vertice 226 conectado com vertice 389, com distancia 11.00
Vertice 227 conectado com vertice 193, com distancia 10.00
Vertice 228 conectado com vertice 248, com distancia 13.00
Vertice 229 conectado com vertice 223, com distancia 14.00
Vertice 230 conectado com vertice 164, com distancia 6.00
Vertice 231 conectado com vertice 327, com distancia 7.00
Vertice 232 conectado com vertice 297, com distancia 6.00
Vertice 233 conectado com vertice 151, com distancia 2.00
Vertice 234 conectado com vertice 310, com distancia 12.00
Vertice 235 conectado com vertice 127, com distancia 15.00
Vertice 236 conectado com vertice 418, com distancia 12.00
Vertice 237 conectado com vertice 447, com distancia 4.00
Vertice 238 conectado com vertice 297, com distancia 7.00
Vertice 239 conectado com vertice 152, com distancia 14.00
Vertice 240 conectado com vertice 164, com distancia 8.00
Vertice 241 conectado com vertice 21, com distancia 8.00
Vertice 242 conectado com vertice 109, com distancia 8.00
Vertice 243 conectado com vertice 97, com distancia 8.00
Vertice 244 conectado com vertice 207, com distancia 5.00
Vertice 245 conectado com vertice 33, com distancia 6.00
Vertice 246 conectado com vertice 94, com distancia 10.00
Vertice 247 conectado com vertice 197, com distancia 5.00
Vertice 248 conectado com vertice 427, com distancia 9.00
Vertice 249 conectado com vertice 86, com distancia 14.00
Vertice 250 conectado com vertice 86, com distancia 15.00
Vertice 251 conectado com vertice 211, com distancia 10.00
Vertice 252 conectado com vertice 211, com distancia 8.00
Vertice 253 conectado com vertice 50, com distancia 4.00
Vertice 254 conectado com vertice 28, com distancia 7.00
Vertice 255 conectado com vertice 270, com distancia 17.00
Vertice 256 conectado com vertice 109, com distancia 10.00
Vertice 257 conectado com vertice 5, com distancia 14.00
Vertice 258 conectado com vertice 181, com distancia 17.00
Vertice 259 conectado com vertice 181, com distancia 14.00
Vertice 260 conectado com vertice 13, com distancia 8.00
Vertice 261 conectado com vertice 274, com distancia 6.00
Vertice 262 conectado com vertice 273, com distancia 9.00
Vertice 263 conectado com vertice 416, com distancia 1.00
Vertice 264 conectado com vertice 164, com distancia 10.00
Vertice 265 conectado com vertice 181, com distancia 6.00
Vertice 266 conectado com vertice 448, com distancia 16.00
Vertice 267 conectado com vertice 235, com distancia 2.00
Vertice 268 conectado com vertice 86, com distancia 5.00
Vertice 269 conectado com vertice 97, com distancia 1.00
Vertice 270 conectado com vertice 234, com distancia 9.00
Vertice 271 conectado com vertice 333, com distancia 5.00
Vertice 272 conectado com vertice 333, com distancia 6.00
Vertice 273 conectado com vertice 93, com distancia 11.00
Vertice 274 conectado com vertice 113, com distancia 3.00
Vertice 275 conectado com vertice 223, com distancia 8.00
Vertice 276 conectado com vertice 416, com distancia 10.00
Vertice 277 conectado com vertice 283, com distancia 8.00
Vertice 278 conectado com vertice 356, com distancia 5.00
