
Quantidade de inicios aleatorios:
10000

Quantidade de construcoes em cada inicio:
200

Quantidade de participantes do torneio:
10

Valor da seed:
1307

Valor da solucao inicial:
3129.00

Maior soma de distancias minimas encontrada:
3409.00

Descricao completa da melhor solucao encontrada:
Vertice 0 conectado com vertice 36, com distancia 7.00
Vertice 1 conectado com vertice 301, com distancia 5.00
Vertice 2 conectado com vertice 354, com distancia 8.00
Vertice 3 conectado com vertice 311, com distancia 15.00
Vertice 4 conectado com vertice 178, com distancia 13.00
Vertice 5 conectado com vertice 322, com distancia 6.00
Vertice 6 conectado com vertice 223, com distancia 12.00
Vertice 7 conectado com vertice 318, com distancia 2.00
Vertice 8 conectado com vertice 151, com distancia 3.00
Vertice 9 conectado com vertice 303, com distancia 7.00
Vertice 10 conectado com vertice 95, com distancia 2.00
Vertice 11 conectado com vertice 256, com distancia 1.00
Vertice 12 conectado com vertice 165, com distancia 8.00
Vertice 13 conectado com vertice 201, com distancia 1.00
Vertice 14 conectado com vertice 137, com distancia 10.00
Vertice 15 conectado com vertice 280, com distancia 13.00
Vertice 16 conectado com vertice 354, com distancia 4.00
Vertice 17 conectado com vertice 200, com distancia 19.00
Vertice 18 conectado com vertice 351, com distancia 23.00
Vertice 19 conectado com vertice 326, com distancia 6.00
Vertice 20 conectado com vertice 252, com distancia 6.00
Vertice 21 conectado com vertice 53, com distancia 6.00
Vertice 22 conectado com vertice 318, com distancia 5.00
Vertice 23 conectado com vertice 232, com distancia 7.00
Vertice 24 conectado com vertice 205, com distancia 3.00
Vertice 25 conectado com vertice 16, com distancia 4.00
Vertice 26 conectado com vertice 77, com distancia 4.00
Vertice 27 conectado com vertice 391, com distancia 8.00
Vertice 28 conectado com vertice 70, com distancia 2.00
Vertice 29 conectado com vertice 355, com distancia 4.00
Vertice 30 conectado com vertice 71, com distancia 20.00
Vertice 31 conectado com vertice 423, com distancia 7.00
Vertice 32 conectado com vertice 183, com distancia 6.00
Vertice 33 conectado com vertice 150, com distancia 5.00
Vertice 34 conectado com vertice 237, com distancia 5.00
Vertice 35 conectado com vertice 272, com distancia 1.00
Vertice 36 conectado com vertice 196, com distancia 4.00
Vertice 37 conectado com vertice 55, com distancia 4.00
Vertice 38 conectado com vertice 381, com distancia 15.00
Vertice 39 conectado com vertice 403, com distancia 16.00
Vertice 40 conectado com vertice 59, com distancia 7.00
Vertice 41 conectado com vertice 410, com distancia 2.00
Vertice 42 conectado com vertice 424, com distancia 1.00
Vertice 43 conectado com vertice 410, com distancia 2.00
Vertice 44 conectado com vertice 18, com distancia 7.00
